,TITLE,PUBLISHER,CATEGORY,cleaned
125,U.S. stocks open lower in subdued trade; Dow Jones down 0.28%,NASDAQ,b,stock open lower subdue trade
126,Stocks Seeing Modest Weakness In Early Trading - U.S. Commentary,RTT News,b,stock see modest weakness early
130,Major Averages Posting Modest Losses In Early Trading,RTT News,b,major post modest loss early trading
132,US STOCKS-Wall Street edges lower after record; Boeing drags,Reuters,b,stock edge low record drag
142,US STOCKS SNAPSHOT-Wall St opens lower after S&P's record close,Reuters,b,stock open low record close
145,Dow Jones Transportation Average Pushing Higher,NASDAQ,b,push high
146,Futures Pointing To A Lower Open On Wall Street,RTT News,b,future point lower open
148,Stocks May Come Under Pressure On Disappointing Chinese Data - U.S.  ...,RTT News,b,stock come pressure
150,"U.S. futures mixed to lower, Chinese data weighs; Dow Jones down 0.09%",NASDAQ,b,future mix low chinese data weigh
161,"US STOCKS-Futures edge lower after record high, China data",Reuters,b,stock future edge low record high datum
162,Uncertain Mood Prevails On Wall Street,RTT News,b,prevail
174,US Stocks Fall as Commodity Shares Lead Drop on China,Businessweek,b,fall
199,Mt. Gox files for US bankruptcy to halt class action,Reuters,b,file bankruptcy halt class action
206,"Hackers take over Mt. Gox CEO's blog, post claimed evidence of fraud",Examiner.com,b,hacker blog claim evidence fraud
207,UPDATE 1-Mt. Gox files for US bankruptcy to halt class action,Reuters,b,update file bankruptcy halt class action
221,Mt. Gox Seeks US Court Protection During Japan Bankruptcy (2),Businessweek,b,seek 2
222,RPT-Mt. Gox files for US bankruptcy protection,Reuters,b,file bankruptcy protection
315,"Bitcoin Charges Against Florida Man May Proceed, Judge Rules (1)",Businessweek,b,charge proceed
343,Metro-North worker dies after being hit by train while working on tracks in East  ...,Daily Mail,b,worker die hit train work track
374,Top Four US Carriers Saw 74500 Flights Grounded by Storms,Businessweek,b,carrier see flight ground storm
384,Delta expects first quarter profit despite hit from winter storms,Reuters,b,expect quarter profit hit winter storm
388,Major U.S. Airlines Tote Up Effects of Winter Storms,NASDAQ,b,major effect winter storm
396,UPDATE 2-American Airlines to end ticketing agreement with JetBlue,Reuters,b,end ticketing agreement
405,American Airlines & JetBlue Airways To Terminate Partnership - Quick Facts,RTT News,b,
440,Americans Riding Public Transit At Highest Level Since 1956,Huffington Post,b,ride level
451,US Public Transit Ridership At Its Highest Level Since 1956,Huffington Post,b,ridership high level
463,Crude drops on soft Chinese trade figures,NASDAQ,b,crude drop soft chinese trade figure
465,UPDATE 7-Oil sinks on weak China data and as heating season ends,Reuters,b,7-oil sink weak datum heating season end
471,"Amid concerns over weak Chinese and Japanese economic data, markets stutter",GlobalPost,b,concern weak chinese japanese economic datum market stutter
472,WTI crude falls sharply as China trade data weighs,NASDAQ,b,crude fall sharply trade datum weigh
485,Stocks fall on discouraging news from Asia,Los Angeles Times,b,stock fall discourage news
501,Oil Falls as China Signals Demand Concerns,NASDAQ,b,demand concern
509,Asia stocks tumble on China trade data; Nikkei falls 1% after GDP,NASDAQ,b,asia stock tumble trade datum fall
521,UPDATE 3-Pizza chain Sbarro files for bankruptcy protection,Reuters,b,chain file bankruptcy protection
536,All out of dough: Sbarro Pizza files for bankruptcy for the second time in three  ...,Daily Mail,b,dough file bankruptcy second time
537,Sbarro files for bankruptcy reorganization for second time in 3 years,GlobalPost,b,sbarro file bankruptcy reorganization second time year
571,Sbarro Files Second Bankruptcy as Mall Traffic Dwindles (1),Businessweek,b,file second
579,UPDATE 2-EU deals blow to two big Russian gas pipeline projects,Reuters,b,update deal blow big russian gas pipeline project
584,Ukraine Crisis: LNG Stocks in Focus - Analyst Blog,NASDAQ,b,stock
607,Energy in the Ukraine -- Sanctions Equation,Huffington Post,b,energy equation
612,German reliance on Russian gas threatens Europe,GlobalPost,b,german reliance russian gas threaten
673,Ukraine Sees Gazprom Charging 37% More for Gas in Second Quarter,Businessweek,b,charge gas quarter
675,Eni CEO says Ukraine wake-up call for Europe energy policy-paper,Reuters,b,say wake energy policy paper
679,UPDATE 2-White House plays down speedy role for US natural gas in Ukraine,Reuters,b,play speedy role natural gas
681,White House downplays role of natural gas policy in Ukraine crisis,Reuters,b,downplay role natural gas policy crisis
688,Chiquita combines with Fyffes to be top banana,Huffington Post,b,combine fyffe banana
693,Next Chapter In The Global Banana Trade's Bloody History: 'Walmartization',Huffington Post,b,chapter history walmartization
702,Chiquita to Acquire Fyffes Creating Biggest Banana Supplier (4),Businessweek,b,acquire create banana supplier
712,"With Chiquita-Fyffes Merger, Dole Will No Longer Be Top Banana",Businessweek,b,longer banana
728,UPDATE 4-Chiquita and Fyffes join to make world's biggest banana firm,Reuters,b,fyffe join world big banana firm
775,Chiquita Brands International (CQB) Is Up Sharply After Merger Announcement,RTT News,b,sharply
783,World's Largest Banana Company Is Born,Huffington Post,b,bear
785,Fyffes Agrees to Merger With Chiquita,NASDAQ,b,fyffe agree
789,World's Largest Banana Company Is Born,Huffington Post,b,bear
821,"GLOBAL MARKETS-World stocks, copper and oil fall after weak China exports",Reuters,b,world stock copper oil fall weak export
823,"GLOBAL MARKETS-World stocks, copper and oil hit by weak China exports",Reuters,b,world stock copper oil hit weak export
828,US Stocks Retreat With Emerging Equities on China Data,Businessweek,b,Retreat emerge
850,"Hong Kong, China shares sink on weak mainland data",GlobalPost,b,share sink weak mainland datum
851,METALS-Copper at 8-month low on fears China deals could unwind,Reuters,b,low fear deal unwind
874,"COMMODITIES-China fears hit copper, oil; Shanghai commodities slump",Reuters,b,fear hit copper oil commodity slump
891,"China shares extend losses after weak macro data, CSI300 down 3 pct",Reuters,b,share extend loss weak macro datum pct
893,Goldman Sees 24% China Stocks Rally on Decade-Low Valuations (1),Businessweek,b,see
902,Developers Slump as Yuan Drop Closing Fund Window: China Credit,Businessweek,b,
911,China Export Decline Shows Growth-Goal Challenge for Premier (2),Businessweek,b,show growth goal
914,Hong Kong H-Shares Head for One-Month Low as China Exports Slide,Businessweek,b,
936,SEC Asks Municipal Bond Sellers to Report Disclosure Breach (2),Businessweek,b,ask report
940,UPDATE 1-'Favorable terms' for US muni issuers who report inaccuracies -SEC,Reuters,b,update term muni issuer report inaccuracy -sec
1070,5 Reasons you should be excited for 'Titanfall',Examiner.com,t,5 reason excite
1123,"Clues to Genghis Khan's rise, written in the rings of ancient trees",Los Angeles Times,t,clue rise write ring ancient tree
1126,Genghis Khan rose to power thanks to a period of wet and warm WEATHER,Daily Mail,t,rise power thank period wet warm weather
1141,"Elephants can gauge threat from human voices, study finds",Reuters,t,elephant gauge threat human voice study find
1145,"Elephants distinguish human voices by sex, age, ethnicity, study says",Los Angeles Times,t,elephant distinguish human voice sex age ethnicity study say
1154,Elephants really are intelligent: Creatures can guess age and even ethnicity by  ...,Daily Mail,t,elephant intelligent creature guess age ethnicity
1169,Mt. Gox files for U.S. bankruptcy protection,GlobalPost,t,file bankruptcy protection
1185,"UPDATE 2-Mt. Gox files US bankruptcy, opponents call it a ruse",Reuters,t,update file bankruptcy opponent ruse
1236,Honda splits Acura into its own division to revitalize brand,Los Angeles Times,t,split division revitalize brand
1249,IPhone 6 concept video: Is this what we should expect from Apple?,Los Angeles Times,t,concept video expect
1262,"Here's The Next iPhone, From A Designer With An Eerily Accurate Prediction  ...",Huffington Post,t,designer
1421,"Nexus 6 rumors suggest LG G3 similarities, Google I/O announcement",Examiner.com,t,nexus rumor suggest similarity announcement
1432,UPDATE 3-GM hires law firms it works with to probe recall response,Reuters,t,update hire law firm work probe recall response
1439,UPDATE 2-GM ignition-switch recall poses first big test for new CEO,Reuters,t,update ignition switch recall pose big test new ceo
1462,"GM recall probe team includes inside, outside attorneys",Reuters,t,recall probe team include inside attorney
1524,Neil deGrasse Tyson's 'Cosmos' premiere ratings: 40M first week?,Los Angeles Times,t,premiere rating week
1550,Neil deGrasse Tyson's 'Cosmos' premiere ratings not so stellar on Fox,Los Angeles Times,t,premiere rating stellar
1568,'Cosmos: a Spacetime Odyssey' will never live up to the original,Examiner.com,t,live original
1588,Neil deGrasse Tyson's 'Cosmos' stumbled with faulty history,Examiner.com,t,stumble faulty history
1594,Neil DeGrasse Tyson: Media Should Stop Giving Space To Climate Change And  ...,Huffington Post,t,stop give space change
1597,'Cosmos' recap: Starts with a big bang,Los Angeles Times,t,recap start big bang
1632,Read Harry Potter books in a few hours? New tech may make it possible,Los Angeles Times,t,read book hour new tech possible
1714,"Free iOS 7.1 update available for iPhone, iPad and iPod Touch now",Examiner.com,t,free update available
1720,iOS 7.1 has been released with some great updates and additions,Examiner.com,t,release great update addition
1766,"Apple Updates IPhone Software to Fix Bugs, Add Features for Cars",Businessweek,t,update fix add feature car
1808,Watch free live streaming of 'iTunes Festival' SXSW,Examiner.com,t,watch free live streaming
1881,Gas up 2 cents in Rhode Island to $3.57 a gallon,Businessweek,t,gas cent gallon
1902,Maine gas prices go up another 2.4 cents a gallon,Businessweek,t,gas price cent gallon
1903,Gas prices in NH rise 2 cents over past week,Businessweek,t,gas price rise cent past week
1936,Survey: US average gas price jumps 10 cents per gallon,GlobalPost,t,survey average gas price jump cent gallon
1940,Edward Snowden warns of personal data vulnerability,Los Angeles Times,t,warn personal datum vulnerability
2008,UPDATE 2-Snowden: Proposed NSA reforms vindicate my data leaks,Reuters,t,propose reform vindicate data leak
2025,Edward Snowden: Reforms Vindicate My Classified Data Leaks,Huffington Post,t,reform vindicate classified datum leak
2051,Watch as Edward Snowden speaks via seven proxy servers at SXSW conference,Examiner.com,t,watch speak proxy server conference
2119,Edward Snowden tells tech-savvy crowd: Be Internet 'firefighters',Los Angeles Times,t,tell tech savvy crowd internet firefighter
2120,"Would he do it all again? Speaking at SXSW, Snowden says 'absolutely'",GlobalPost,t,speak say absolutely
2180,George Zimmerman fails to make 'a killing' at gun show,Examiner.com,e,fail killing gun
2201,Infamous George Zimmerman signs autographs at The Arms Room on Saturday,Examiner.com,e,sign autograph
2207,Orlando gun show canceled after GEORGE ZIMMERMAN was named as  ...,Daily Mail,e,gun cancel name
2233,HBO Releases New 'Game Of Thrones' Season 4 Trailer With More Action And  ...,Huffington Post,e,season trailer action
2238,"'Game of Thrones' trailer: Season 4 promises conquest, betrayal, dragons",Los Angeles Times,e,trailer season promise conquest betrayal dragon
2274,"Latest ""Game Of Thrones"" Trailer Reveals Nothing New, But Here Are Some  ...",Contactmusic.com,e,late trailer reveal new
2404,Lindsay Lohan's new reality show? So not a good idea...,Los Angeles Times,e,new reality good idea
2417,"Lindsay Lohan Misses Her AA Meeting, Blames Paparazzi On Premiere Of OWN  ...",Huffington Post,e,miss aa meeting Paparazzi
2420,Lindsay Lohan - Lindsay Lohan wants 'integrity',Contactmusic.com,e,want integrity
2428,Lindsay Lohan Spends Most Of OWN Pilot Cooling Her Heels,Contactmusic.com,e,spend pilot cool heel
2455,Miley Cyrus' Obsessed Fan Sneaks Into Singer's Dressing Room And Leaves A  ...,Contactmusic.com,e,obsess leave
2470,Miley Cyrus - Miley Cyrus fan arrested after sneaking into dressing room,Contactmusic.com,e,fan arrest sneak dress room
2473,Miley Cyrus - Teen Arrested After Sneaking Into Miley Cyrus' Dressing Room,Contactmusic.com,e,arrest sneak dressing
2503,Bachelor Juan Pablo Galavis chooses Nikki Ferrell... but says he 'isn't 100 per  ...,Daily Mail,e,choose say
2517,Juan Pablo insults Clare Crawley on 'The Bachelor 2014': What did he say?,Examiner.com,e,insult
2564,Unpopular Juan Pablo picks Nikki and Clare bawls him out: 'The Bachelor' finale,Examiner.com,e,pick bawl finale
2565,Juan Pablo Galavis picks his girl: Did Reality Steve get it right?,Examiner.com,e,pick girl right
2612,Even Juan Pablo Thinks This Season Of 'The Bachelor' Has Been A Soap Opera,Huffington Post,e,think season opera
2627,'The Bachelor' 2014: Juan Pablo slammed by former 'Bachelorette' contestant,Examiner.com,e,slam contestant
2638,'The Bachelor' 2014 spoilers: Reality Steve adds one more 'Bachelor' spoiler,Examiner.com,e,spoiler add spoiler
2639,'Bachelor' star Juan Pablo has relationship troubles post-finale?,Examiner.com,e,star relationship trouble post finale
2640,Juan Pablo offers wedding song? 'The Bachelor' shares music with Clare Crawley,Examiner.com,e,offer wedding song share music
2645,Reality Steve teases 'The Bachelor 2014' spoilers: Juan Pablo still with his gal,Examiner.com,e,reality tease spoiler gal
2652,'The Bachelor': Was Juan Pablo Galavis a good choice for ABC?,Examiner.com,e,good choice
2661,'Bachelor' star Juan Pablo can't tell truth due to contract?,Examiner.com,e,star tell truth contract
2667,Bachelor spoilers 2014: Will Juan Pablo and Nikki get engaged on finale or ATFR?,Examiner.com,e,spoiler engage finale
2670,"'The Bachelor': Is Juan Pablo broke, being paid to propose? still close with ex?",Examiner.com,e,break pay propose close
2681,"Tensions Run High Ahead Of ""Bachelor"" Finale (Sort Of)",Contactmusic.com,e,tension run high ahead sort
2687,Juan Pablo at a wedding chapel in Las Vegas: Spoiler for 'The Bachelor Finale'?,Examiner.com,e,wedding chapel spoiler
2688,"'The Bachelor' spoilers: 3 rumors to choose from, who will win? (video)",Examiner.com,e,spoiler rumor choose win video
2691,"ABC teases 'The Bachelor 2014' spoilers: When does finale air, what lies ahead?",Examiner.com,e,tease spoiler finale air lie ahead
2697,"'Bachelor' offends again: Juan Pablo Galavis makes enemies with ""retarded"" tweet",Examiner.com,e,offend make enemy retarded tweet
2699,'Bachelor' star Juan Pablo endorses the R-word on Twitter,Examiner.com,e,star endorse r word
2702,'Bachelor' star Juan Pablo's relationship with ex raises concerns,Examiner.com,e,star relationship ex raise concern
2709,"Lowdown on 'Bachelor' finale, Juan Pablo's controversial comments, Final Rose",Examiner.com,e,lowdown finale controversial comment
2712,Juan Pablo 'The Bachelor 2014' spoilers: 'lots of fighting' now with final lady,Examiner.com,e,spoiler lot fighting final lady
2722,Bachelor star Juan Pablo Galavis blames poor English for mocking the mentally  ...,Daily Mail,e,star blame poor mock mentally
2736,Former 'Bachelor' star Jason Mesnick hints that Juan Pablo is single,Examiner.com,e,star hint single
2737,'Bachelor' star Juan Pablo's ex Andi Dorfman to be the next 'Bachelorette?',Examiner.com,e,star ex
2744,Desiree Hartsock gives her opinion on Andi Dorfman being Bachelorette,Examiner.com,e,give opinion
2745,"'Bachelor' star Juan Pablo on his Spanish: 'Learn Spanish, travel the world'",Examiner.com,e,star spanish learn travel world
2753,Jef Holm blasted for being sleazy himself after criticizing Juan Pablo Galavis,Examiner.com,e,blast sleazy criticize
2754,'The Bachelor' 2014 spoilers: Is Juan Pablo and his final choice still a couple?,Examiner.com,e,spoiler final choice couple
2760,Huge 'The Bachelor' 2014 spoilers: Is Juan Pablo still with winner?,Examiner.com,e,huge spoiler winner
2765,Juan Pablo spoilers: 'The Bachelor 2014' still with final pick per Reality Steve,Examiner.com,e,spoiler final pick
2769,'The Bachelor' Juan Pablo naked pictures? Nikki Ferrell has the nude photos,Examiner.com,e,naked picture nude photo
2772,"'The Bachelor' spoilers Catherine, Sean Lowe talk love on 'After the Final Rose'",Examiner.com,e,spoiler talk love
2773,"Juan Pablo lives with parents? Mom, dad & 'The Bachelor' under one roof",Examiner.com,e,live parent dad roof
2780,'Bachelor' spoilers: ABC teases 'most shocking finale ever' ... again,Examiner.com,e,spoiler tease shocking finale
2790,Bach Juan Pablo Recap 10: The Women Tell All (Through Super White Teeth),Huffington Post,e,woman tell
2797,Chris Harrison says chubby guys need not apply to be on 'The Bachelor',Examiner.com,e,say chubby guy nee apply
2804,"The Bachelor Season 18, Episode 10: The Women Tell All, Juan Pablo 'Loves  ...",Huffington Post,e,woman tell love
2806,Lucy Aragon's 'Bachelor' Song Bashes Juan Pablo ... But For Fun,Huffington Post,e,
2850,'Neighbors' Movie Shows Seth Rogen All Grown Up,Huffington Post,e,neighbor show grow
2887,Zac Efron Confirms He Is Eager For 'High School Musical' Reunion Movie,Contactmusic.com,e,confirm reunion
2893,Zac Efron - Zac Efron Open To High School Musical Return,Contactmusic.com,e,open
2896,Zac Efron 'would like to make fourth High School Musical movie',Daily Mail,e,like fourth musical movie
2912,Rose Byrne In 'Neighbors' Is Your SXSW Breakout,Huffington Post,e,rise neighbor sxsw breakout
2916,Zac Efron hints at a 'High School Musical' reunion movie,Examiner.com,e,hint reunion movie
2917,Zac Efron - Zac Efron 'thinking about' High School Musical reunion film,Contactmusic.com,e,think musical reunion film
2931,"SXSW Highlights: ""Chef"", ""Neighbors"" And ""Veronica Mars"" Bring The Laughs  ...",Contactmusic.com,e,chef neighbor bring
2933,Comic film 'Neighbors' pits party-over against party-on,Reuters,e,comic film neighbor pit party party
2944,Zac Efron mobbed at airport as Bad Neighbors stars arrive at SXSW,Daily Mail,e,mob airport star arrive
2965,"Comcast offers 'American Hustle,' 'House of Cards' with Sony deal",Los Angeles Times,e,offer deal
2969,Comcast To Charge Insane Amount For A Single Season Of 'House Of Cards',Huffington Post,e,comcast charge single season
3041,TV Review: 'True Detective' season finale 'Form and Void',Examiner.com,e,tv true season finale
3057,True Detective finale: The universe turns out to be more than just a flat circle,Examiner.com,e,true detective finale universe turn flat circle
3059,HBO's 'True Detective' season finale locks up a ratings high,Los Angeles Times,e,true season finale lock rating high
3109,'True Detective' season 1 finale: Went out with a crash for millions on HBOGo,Examiner.com,e,true season finale go crash million HBOGo
3149,Lena Dunham Apologizes For Molestation Joke On Twitter,Huffington Post,e,molestation joke
3155,Girls - Lena Dunham Calls Out Hollywood Sexism In Sxsw Keynote Speech,Contactmusic.com,e,call
3165,The Critics Have Their Say On Lena Dunham Hosting 'Saturday Night Live',Contactmusic.com,e,host
3187,Lena Dunham reveals Girls has helped her accept her figure... as she turns  ...,Daily Mail,e,reveal girl help accept figure turn
3199,Lena Dunham and Jack Antonoff pictured on 'double date' with the Obamas,Daily Mail,e,picture double date
3208,Was That Molestation Joke Lena Dunham's First Real Misstep? Well Handled.,Contactmusic.com,e,real handle
3226,Lena Dunham and Taylor Swift attend afterparty to celebrate SNL success,Daily Mail,e,attend afterparty celebrate success
3237,Lena Dunham - Lena Dunham Apologises For Molestation Tweet,Contactmusic.com,e,molestation
3246,Girls Meets Genesis In Lena Dunham's Best SNL Sketch,Contactmusic.com,e,girl meet good
3263,Lena Dunham - Lena Dunham parties with Taylor Swift after hosting debut,Contactmusic.com,e,party host debut
3298,Lena Dunham bares it all for 'SNL',Los Angeles Times,e,bare snl
3303,Lena Dunham Goes All Old Testament On SNL,Contactmusic.com,e,go old
3332,Neil Young to take on Apple with Pono Music player and download store,Daily Mail,e,music player download store
3337,Neil Young - Neil Young To Unveil Pono Music Service And Device At Sxsw,Contactmusic.com,e,
3354,"Neil Young to Start Kickstarter-Funded Music Service, Player (1)",Businessweek,e,young start
3406,What To Expect From Jon Favreau's New Movie 'Chef',Contactmusic.com,e,expect
3408,'Chef' Is A Double Passion Project for Jon Favreau: Food and Film [Clip + Pictures],Contactmusic.com,e,double passion film
3427,"Favreau goes from ""Iron Man"" to stainless steel food truck in new film",Reuters,e,go stainless steel food truck film
3429,"RPT-Favreau goes from ""Iron Man"" to stainless steel food truck in new film",Reuters,e,go stainless steel food truck film
3435,Jon Favreau On 'Chef' & Why He Still Likes Doing 'Big Movies',Huffington Post,e,like big movie
3438,"Jon Favreau Talks New Movie, Also Scarlett Johansson's Parenting Skills, For  ...",Contactmusic.com,e,
3452,Jon Favreau - Jon Favreau: Scarlett Johansson will be 'wonderful' mum,Contactmusic.com,e,wonderful mum
3484,Justin Bieber - Justin Bieber can't be 'broken',Contactmusic.com,e,break
3503,Justin Bieber posts sexy video of him grinding with Selena Gomez to John  ...,Daily Mail,e,post sexy video grind
3508,Justin Bieber argues with lawyer and pretends to fall asleep in deposition,Daily Mail,e,argue lawyer pretend fall asleep deposition
3524,"Selena Gomez And Justin Bieber Dance It Out, But Keep Their Relationship On  ...",Contactmusic.com,e,relationship
3574,Justin Bieber Blasts Lawyer For Asking About Selena Gomez In Deposition [Video],Contactmusic.com,e,ask video
3584,Justin Bieber: Deposition regarding photographer assault (Video),Examiner.com,e,deposition photographer assault video
3589,Justin Bieber all but confirms reunion with Selena Gomez at SXSW,Daily Mail,e,confirm reunion
3593,Justin Bieber's brutal honesty in court: 'I was detrimental to my own career',Examiner.com,e,brutal honesty court detrimental career
3607,"Reunited And It Feels So Good: Justin Bieber And Selena Gomez, Will They Last?",Contactmusic.com,e,reunite feel good
3608,Justin Bieber - Justin Bieber dedicates song to his 'baby' Selena Gomez,Contactmusic.com,e,dedicate song baby
3619,Selena Gomez - Selena Gomez' parents 'vehemently opposed' to reunion with  ...,Contactmusic.com,e,parent vehemently oppose reunion
3653,Stacy Keibler And Jared Pobre's Wedding Was Kept Secret From Close Friends,Contactmusic.com,e,wedding keep secret close friend
3656,Stacy Keibler - Stacy Keibler to have kids 'as soon as possible',Contactmusic.com,e,kid soon possible
3666,George Clooney ex Stacy Keibler marries tech exec Jared Pobre,Los Angeles Times,e,marry tech exec
3692,"Stacy Keibler, George Clooney's Ex, Marries In Surprise Mexican Ceremony",Contactmusic.com,e,surprise mexican ceremony
3700,There's More To Newlywed Stacy Keibler Than Being George Clooney's Ex,Contactmusic.com,e,newlywed
3717,Stacy Kiebler marries in a surprise ceremony,Examiner.com,e,marry surprise ceremony
3718,Former WWE Diva Stacy Keibler gets married in secret ceremony,Examiner.com,e,get marry secret ceremony
3729,Former WWE Diva Stacy Keibler Marries In Secret Ceremony To Jared Pobre,Contactmusic.com,e,secret ceremony
3740,Stacy Keibler marries less than year after George Clooney break up,Examiner.com,e,marry year break
3764,Stacy Keibler Ties The Knot At Surprise Wedding In Mexico,Contactmusic.com,e,tie wedding
3765,Stacy Keibler marries boyfriend of seven months Jared Pobre in surprise beach  ...,Daily Mail,e,marry boyfriend month jar surprise beach
3771,Stacy Keibler - Stacy Keibler marries Jared Pobre,Contactmusic.com,e,marry
3775,George Clooney - George Clooney's Ex Weds In Mexico,Contactmusic.com,e,
3798,Taylor Swift - Taylor Swift named Billboard's 'Top Money Maker',Contactmusic.com,e,name money maker
3819,Taylor Swift beats Beyonce and Justin Timberlake to top list of music's biggest  ...,Daily Mail,e,swift beat list music big
3833,Taylor Swift Tops Billboard's 2014 Money Makers List,Huffington Post,e,
3834,Taylor Swift - Taylor Swift Named Top Money Maker For 2014,Contactmusic.com,e,money maker
3835,Rolling Stones rank among top 5 highest paid musicians in 2014,Examiner.com,e,rank high pay musician
3863,"Prince Harry, girlfriend Cressida Bonas pack in public appearances",Los Angeles Times,e,girlfriend pack public appearance
3951,'The Voice' 2014 spoilers: True blind auditions are scary for viewers (video),Examiner.com,e,spoiler true blind audition scary viewer video
3975,Anxietty Dream ComeTo Life: Miley Cyrus Forgets To Put On Clothes Before  ...,Contactmusic.com,e,life clothe
3986,"Miley Cyrus goes minimalist, performs in her underwear",Los Angeles Times,e,go minimalist perform underwear
3991,Miley Cyrus Forced To Perform In Underwear Due To Costume Change Blunder,Contactmusic.com,e,force perform underwear costume change blunder
3992,Miley Cyrus reveals she had to 'run out in her undies' as she misses her 'quick  ...,Daily Mail,e,reveal run undie miss quick
4008,Miley Cyrus Performs In Underwear After Missing Costume Change,Huffington Post,e,perform miss
4017,Miley Cyrus - Miley Cyrus performs in 'undies',Contactmusic.com,e,perform undie
4041,Miley Cyrus - Miley Cyrus Performs In Her Underwear After Missing Costume  ...,Contactmusic.com,e,perform underwear miss
4106,"Beyoncé's Not Bossy, She's The Boss -- And We Believe Her",Huffington Post,e,bossy boss believe
4115,Beyoncé too bossy in #BanBossy campaign? (Video),Examiner.com,e,bossy campaign video
4129,"Facebook executive, Girl Scouts seek to ban 'bossy' from vocabulary",Examiner.com,e,executive scout seek ban vocabulary
4168,Beyonce leans in with commercial for Sheryl Sandberg's organization,Los Angeles Times,e,beyonce lean commercial organization
4172,"What Kids Actually Think About Sheryl Sandberg, Leaning In, and 'Ban Bossy'",Huffington Post,e,kid actually think lean
4198,Beyonce teams with Jennifer Garner and Jane Lynch in campaign to urge girls to  ...,Daily Mail,e,beyonce team campaign urge girl
4199,Beyonce - Beyonce Fronts New Campaign For Girl Empowerment,Contactmusic.com,e,
4230,Parents Pay More Attention To Phones Than Kids During Meals (STUDY),Huffington Post,m,parent pay attention phone kid
4234,Caregivers often pick up phones at mealtime,GlobalPost,m,caregiver pick phone mealtime
4240,Parents warned phone addiction could damage bond with child,Daily Mail,m,parent warn phone addiction damage bond child
4245,Mobile devices distracting parents during meals,Examiner.com,m,mobile device distract parent meal
4263,Do mobile devices promote distracted parenting?,Los Angeles Times,m,mobile device promote distract parenting
4272,Sanjay Gupta Says Medical Marijuana Should Be Legalized Federally,Huffington Post,m,say legalize federally
4276,The Most Controversial Essay We've Ever Published...,NASDAQ,m,controversial publish
4281,Florida legislature hears marijuana bill tomorrow,Examiner.com,m,legislature hear tomorrow
4308,J.C. Penney shares jump on Citi upgrade,GlobalPost,b,share jump upgrade
4317,JC Penney Gains as Citigroup Analyst Upgrades Chain to Buy (1),Businessweek,b,buy
4356,Chrysler Group issues two recalls of nearly 37000 vehicles in US,Los Angeles Times,b,issue recall nearly vehicle
4381,Libyan navy attacks ship carrying oil from rebel port; PM sacked,Reuters,b,libyan navy attack ship carry oil rebel port pm sack
4382,UPDATE 3-Libyan navy attacks ship carrying oil from rebel port; PM sacked,Reuters,b,attack ship carry oil rebel port pm sack
4390,Libyan lawmakers oust prime minister in no-confidence vote,Los Angeles Times,b,libyan lawmaker oust minister confidence vote
4395,Libyan parliament sacks prime minister after rebels export oil,GlobalPost,b,libyan parliament sack rebel export oil
4404,Libyan PM Zeidan has lost confidence vote in parliament: spokesman,GlobalPost,b,libyan pm lose confidence vote parliament spokesman
